#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:Ser" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:Ser" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:Ser" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:Ser" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:Ser">
#                    <taxonset id="TaxonSet.Ser" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:Ser" jeffreys="true" parameter="@bPopSizes.t:Ser" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="GammaShapePrior.s:Ser" name="distribution">
#            <parameter id="gammaShape.s:Ser" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="mean" upper="0.0">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:Ser" name="distribution">
#            <parameter id="ucldStdev.c:Ser" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@Ser" id="treeLikelihood.Ser" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Ser">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Ser" shape="@gammaShape.s:Ser" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Ser" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Ser" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="WAG.s:Ser" spec="beast.evolution.substitutionmodel.WAG"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:Ser" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:Ser">
#                <LogNormal S="@ucldStdev.c:Ser" id="LogNormalDistributionModel.c:Ser" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="112" id="rateCategories.c:Ser" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:Ser" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	mutationRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-15216.243890251822	-14849.574786906838	-366.6691033449841	-14849.574786906838	3.9108244779391397	1.0	1.0	0.1	0.9847154200975804	0.009255682988713397	0.09598441939313997	-332.78761122650275	380.0	380.0	380.0	380.0	380.0	12	11	11	11	11
10000	-8038.982987951631	-7837.6513970035385	-201.3315909480925	-7837.6513970035385	6.932885867060357	0.8929250861308928	1.0	0.9251760234660381	0.7620142526121746	0.8244314843741992	0.957680670498624	-182.09964557998816	28.81692534343765	9.033011439038374	7.002178737657046	9.05472564807852	4.701935937737704	15	4	17	8	12
20000	-7611.427030566145	-7439.952149917243	-171.47488064890175	-7439.952149917243	3.419734141786321	0.8929250861308928	1.0	0.7597409653993619	0.8116179867505676	0.8988121138590506	0.9011692062640091	-152.81459238163075	18.609259745312094	22.45713652570397	4.900432577667801	7.618618341429384	2.7967091877653756	9	7	16	10	14
30000	-7175.860280294929	-7014.893428708381	-160.96685158654753	-7014.893428708381	2.6442992093881084	0.7698745874509351	1.0	0.5134780598842436	0.8980948006703166	0.3148738028864679	0.5321904088997204	-145.20587178813855	16.99430891937539	8.177288494950957	3.814348700481937	3.392897290890008	6.1405874219587995	10	5	30	10	1
40000	-7166.912101642205	-7014.0040440933735	-152.90805754883186	-7014.0040440933735	2.5534482270206795	0.7698745874509351	1.0	0.30594185183637357	0.921960335034111	0.09427918071147641	0.30838574015333253	-137.95257511649166	23.210622392750672	6.355869577599914	8.891008113283238	3.016488230845629	1.5419637963483392	8	5	11	15	17
50000	-7178.158408444528	-7032.944323970978	-145.21408447354963	-7032.944323970978	1.8872408998921781	0.8809515504553515	1.0	0.05427471446737729	1.0115287226241658	0.003379265255449166	0.05789785524628555	-133.13917061524143	14.677850235525739	9.436156808386691	4.295371728271046	3.342231737416364	0.8583526843354707	13	12	4	2	25
60000	-7151.704346776811	-6998.549989446838	-153.1543573299735	-6998.549989446838	2.1098140330707165	0.8809515504553515	1.0	0.3898452017471197	0.9752987775954881	0.14435771455273771	0.38926331447380713	-137.30897173187873	36.83951908906868	28.429405028460128	4.3816660418893765	0.7040843430943066	1.143975669395095	5	10	17	9	15
70000	-7136.018244470006	-7000.501248146606	-135.51699632340035	-7000.501248146606	1.646061069996779	0.996537547556668	1.0	0.319499528652344	0.9667190306076573	0.1325922036091944	0.3587440018781493	-122.63766535306826	22.30469400027428	9.73993666743533	2.4283427701559948	0.9758255520271858	1.1282470281597692	10	9	18	8	11
80000	-7147.793606413803	-7009.331241789171	-138.462364624632	-7009.331241789171	1.4331362630245434	0.996537547556668	1.0	0.3202088171797614	0.948680951801852	0.08541194583824635	0.2994804883449362	-124.31589624978454	33.077916046592726	6.764462144634346	6.041436186242683	1.4358019848285222	0.6487131438101946	5	10	16	8	17
90000	-7147.592158098786	-7006.474671349252	-141.1174867495339	-7006.474671349252	1.6014636741214774	0.996537547556668	1.0	0.3457876708392727	0.9565302842057171	0.09688160329639063	0.3277983908617658	-128.1932793688101	21.40277654651852	8.756159592519184	4.164523571090604	0.5995057364690904	0.7744502340935397	6	13	23	3	11
